time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449150000	13.8923	5.85562	0	0	0	radar	6.95323e-310	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	13.9684	6.04148	0	0	0	lidar	1.39612e-309	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	13.9684	6.04148	0	0	0	radar	6.95323e-310	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	14.034	6.22414	0	0	0	lidar	1.39612e-309	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	14.034	6.22414	0	0	0	radar	6.95323e-310	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	14.0992	6.40879	0	0	0	lidar	1.39612e-309	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	14.0992	6.40879	0	0	0	radar	6.95323e-310	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	14.1577	6.59041	0	0	0	lidar	1.39612e-309	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	14.1577	6.59041	0	0	0	radar	6.95323e-310	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	14.2066	6.77389	0	0	0	lidar	1.39612e-309	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	14.2066	6.77389	0	0	0	radar	6.95323e-310	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	14.2509	6.95461	0	0	0	lidar	1.39612e-309	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	14.2509	6.95461	0	0	0	radar	6.95323e-310	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	14.285	7.13245	0	0	0	lidar	1.39612e-309	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	14.285	7.13245	0	0	0	radar	6.95323e-310	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	14.3133	7.31333	0	0	0	lidar	1.39612e-309	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	14.3133	7.31333	0	0	0	radar	6.95323e-310	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	14.3363	7.49266	0	0	0	lidar	1.39612e-309	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	14.3363	7.49266	0	0	0	radar	6.95323e-310	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	14.3517	7.67134	0	0	0	lidar	1.39612e-309	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	14.3517	7.67134	0	0	0	radar	6.95323e-310	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	14.3635	7.84861	0	0	0	lidar	1.39612e-309	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.3635	7.84861	0	0	0	radar	6.95323e-310	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.3677	8.02335	0	0	0	lidar	1.39612e-309	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3677	8.02335	0	0	0	radar	6.95323e-310	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.3634	8.19315	0	0	0	lidar	1.39612e-309	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	14.3634	8.19315	0	0	0	radar	6.95323e-310	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	14.3515	8.3602	0	0	0	lidar	1.39612e-309	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	14.3515	8.3602	0	0	0	radar	6.95323e-310	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	14.3351	8.52422	0	0	0	lidar	1.39612e-309	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	14.3351	8.52422	0	0	0	radar	6.95323e-310	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	14.3161	8.68696	0	0	0	lidar	1.39612e-309	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	14.3161	8.68696	0	0	0	radar	6.95323e-310	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	14.2891	8.84619	0	0	0	lidar	1.39612e-309	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	14.2891	8.84619	0	0	0	radar	6.95323e-310	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	14.2561	8.99828	0	0	0	lidar	1.39612e-309	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	14.2561	8.99828	0	0	0	radar	6.95323e-310	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	14.2199	9.14912	0	0	0	lidar	1.39612e-309	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	14.2199	9.14912	0	0	0	radar	6.95323e-310	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	14.1788	9.29449	0	0	0	lidar	1.39612e-309	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	14.1788	9.29449	0	0	0	radar	6.95323e-310	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	14.1302	9.43975	0	0	0	lidar	1.39612e-309	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	14.1302	9.43975	0	0	0	radar	6.95323e-310	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	14.0804	9.57874	0	0	0	lidar	1.39612e-309	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	14.0804	9.57874	0	0	0	radar	6.95323e-310	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	14.0264	9.7132	0	0	0	lidar	1.39612e-309	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	14.0264	9.7132	0	0	0	radar	6.95323e-310	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	13.9637	9.84386	0	0	0	lidar	1.39612e-309	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	13.9637	9.84386	0	0	0	radar	6.95323e-310	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	13.897	9.96755	0	0	0	lidar	1.39612e-309	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	13.897	9.96755	0	0	0	radar	6.95323e-310	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	13.8279	10.088	0	0	0	lidar	1.39612e-309	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	13.8279	10.088	0	0	0	radar	6.95323e-310	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	13.7524	10.2051	0	0	0	lidar	1.39612e-309	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	13.7524	10.2051	0	0	0	radar	6.95323e-310	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	13.6745	10.3172	0	0	0	lidar	1.39612e-309	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	13.6745	10.3172	0	0	0	radar	6.95323e-310	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	13.5936	10.4249	0	0	0	lidar	1.39612e-309	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	13.5936	10.4249	0	0	0	radar	6.95323e-310	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	13.5086	10.5282	0	0	0	lidar	1.39612e-309	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
